"state","names","pop"
"00","United States",308745538
"01","Alabama",4779736
"02","Alaska",710231
"03","Arizona",6392017
"04","Arkansas",2915918
"05","California",37253956
"06","Colorado",5029196
"07","Connecticut",3574097
"08","Delaware",897934
"09","District of Columbia",601723
"10","Florida",18801310
"11","Georgia",9687653
"12","Hawaii",1360301
"13","Idaho",1567582
"14","Illinois",12830632
"15","Indiana",6483802
"16","Iowa",3046355
"17","Kansas",2853118
"18","Kentucky",4339367
"19","Louisiana",4533372
"20","Maine",1328361
"21","Maryland",5773552
"22","Massachusetts",6547629
"23","Michigan",9883640
"24","minnesota",5303925
"25","Mississippi",2967297
"26","Missouri",5988927
"27","Montana",989415
"28","Nebraska",1826341
"29","Nevada",2700551
"30","New Hampshire",1316470
"31","New Jersey",8791894
"32","New Mexico",2059179
"33","New York",19378102
"34","North Carolina",9535483
"35","North Dakota",672591
"36","Ohio",11536504
"37","Oklahoma",3751351
"38","Oregon",3831074
"39","Pennsylvania",12702379
"40","Rhode Island",1053567
"41","South Carolina",4625364
"42","South Dakota",814180
"43","Tennassee",6346105
"44","Texas",25145561
"45","Utah",2763885
"46","Vermont",625741
"47","Virginia",8001024
"48","Washington",6724540
"49","West Virginia",1852994
"50","Wisconsin",5686986
"51","Wyoming",563626
